rep_id, size, block_size, BLAS, MPI, grid, time
0, 4096, 128, 0, 0, 1x1, 16.2562746
1, 4096, 128, 0, 0, 1x1, 16.0814922
2, 4096, 128, 0, 0, 1x1, 16.208298
3, 4096, 128, 0, 0, 1x1, 16.2966545
4, 4096, 128, 0, 0, 1x1, 16.2076097
5, 4096, 128, 0, 0, 1x1, 16.2063317
6, 4096, 128, 0, 0, 1x1, 16.2499763
7, 4096, 128, 0, 0, 1x1, 16.2688326
8, 4096, 128, 0, 0, 1x1, 16.1852527
9, 4096, 128, 0, 0, 1x1, 16.2813171
10, 4096, 128, 0, 0, 1x1, 16.3211158
11, 4096, 128, 0, 0, 1x1, 16.1062715
12, 4096, 128, 0, 0, 1x1, 16.311887
13, 4096, 128, 0, 0, 1x1, 16.269837
14, 4096, 128, 0, 0, 1x1, 16.1525133
15, 4096, 128, 0, 0, 1x1, 16.0166472
16, 4096, 128, 0, 0, 1x1, 16.2550371
17, 4096, 128, 0, 0, 1x1, 16.2685924
18, 4096, 128, 0, 0, 1x1, 16.1744109
19, 4096, 128, 0, 0, 1x1, 16.1370318
20, 4096, 128, 0, 0, 1x1, 16.2695325
21, 4096, 128, 0, 0, 1x1, 16.138888
22, 4096, 128, 0, 0, 1x1, 16.0190677
23, 4096, 128, 0, 0, 1x1, 16.2286089
24, 4096, 128, 0, 0, 1x1, 16.2299765
25, 4096, 128, 0, 0, 1x1, 16.1024593
26, 4096, 128, 0, 0, 1x1, 16.1802672
27, 4096, 128, 0, 0, 1x1, 16.2749769
28, 4096, 128, 0, 0, 1x1, 16.1981079
29, 4096, 128, 0, 0, 1x1, 16.1231641
